x,y,z
1.553027223,-0.52945978,0.85605
2.336687223,-0.60863978,0.70995
0.735497223,-0.09535978,1.751225
0.926207223,-0.27835978,1.768638
0.229357223,-0.30407978,1.59279
1.624277223,-0.28280978,1.709289
2.698937223,-0.43745978,1.33254
1.114217223,-0.54754978,0.62429
2.194987223,0.09503022,1.809478
0.908857223,-0.52285978,0.37854
-0.056772777,-0.46350978,1.17137
1.239367223,-0.47103978,1.19119
1.808407223,-0.52095978,1.11654
1.470177223,-0.52971978,0.87943
2.273477223,-0.59120978,0.72564
0.850987223,0.02544022,1.722727
0.883327223,-0.26514978,1.773637
0.189807223,-0.29586978,1.59899
1.563227223,-0.27323978,1.717277
2.199977223,-0.30289978,1.686499
0.400397223,-0.53004978,0.81169
2.680417223,-0.39837978,1.33292
1.032547223,-0.55337978,0.65274
2.313377223,0.20851022,1.786357
0.891127223,-0.49516978,0.37935
1.929057223,-0.24204978,1.898356
0.542527223,-0.13952978,1.2218
1.161847223,-0.47367978,1.20983
1.730947223,-0.51561978,1.13407
1.390947223,-0.52919978,0.90161
2.705157223,-0.51473978,0.97048
2.305197223,-0.53358978,0.70995
0.855567223,0.07069022,1.717577
0.169117223,-0.27410978,1.59987
1.479777223,-0.27670978,1.729419
2.107517223,-0.30199978,1.69918
0.333897223,-0.53647978,0.83494
2.521207223,-0.42038978,1.36321
0.970767223,-0.54928978,0.67266
2.259857223,0.22747022,1.791848
0.887477223,-0.45931978,0.37291
1.898787223,-0.21335978,1.90031
1.158907223,-0.43599978,1.20568
1.664107223,-0.50613978,1.1486
0.734397223,-0.54018978,1.03554
1.317017223,-0.52698978,0.92199
2.586717223,-0.51715978,0.99801
2.353947223,-0.46778978,0.68845
0.896647223,0.14243022,1.704529
1.410367223,-0.27340978,1.739005
2.024167223,-0.29783978,1.710352
1.580247223,-0.37613978,1.46957
0.283327223,-0.53359978,0.85092
2.446937223,-0.40702978,1.37548
0.896087223,-0.55318978,0.69826
2.208037223,0.24687022,1.79705
0.856747223,-0.43922978,0.38016
1.901767223,-0.16757978,1.89696
2.406697223,-0.58949978,0.31821
2.071157223,-0.59967978,0.07054
1.595627223,-0.49822978,1.16363
0.697087223,-0.52528978,1.04355
1.244947223,-0.52472978,0.94177
2.475717223,-0.51795978,1.02361
2.414337223,-0.39581978,0.66288
1.538947223,0.65002022,1.56204
1.356587223,-0.26209978,1.745715
1.944537223,-0.29285978,1.720919
0.241567223,-0.53431978,0.86472
0.841857223,-0.55573978,0.71676
2.206017223,0.28237022,1.794738
1.916037223,-0.12668978,1.892493
2.429597223,-0.54640978,0.30466
1.993607223,-0.60185978,0.10062
